epoch,total,pde,terminal,left_bc,right_bc,exercise
1,120010.65625,0.030455004423856735,2034.354736328125,9956.591796875,10.11622142791748,0.0
2,114612.5,0.10390953719615936,1919.8963623046875,9526.912109375,14.431558609008789,0.0
3,109476.15625,0.22714287042617798,1814.683349609375,9115.5810546875,17.32823371887207,0.0
4,104693.03125,0.3939796984195709,1715.5374755859375,8733.86328125,19.862783432006836,0.0
5,100185.03125,0.6079738736152649,1620.6424560546875,8376.01171875,21.787878036499023,0.0
6,95852.4375,0.8665809631347656,1529.0069580078125,8033.01220703125,23.13827896118164,0.0
7,91603.203125,1.1755239963531494,1441.36328125,7694.10205078125,24.737024307250977,0.0
8,87458.5859375,1.5347543954849243,1357.7581787109375,7360.66064453125,27.286109924316406,0.0
9,83376.03125,1.9350805282592773,1277.3565673828125,7029.79833984375,30.254472732543945,0.0
10,79508.5546875,2.383810043334961,1200.7811279296875,6716.6484375,33.18742370605469,0.0
11,75760.9921875,2.8729870319366455,1128.66796875,6410.9208984375,36.222843170166016,0.0
12,72059.953125,3.3991358280181885,1059.48583984375,6106.6337890625,39.53620910644531,0.0
13,68409.140625,3.9837687015533447,993.1597900390625,5804.03515625,43.32064437866211,0.0
14,64817.65625,4.606113433837891,929.9503173828125,5503.42578125,47.928871154785156,0.0
15,61287.48046875,5.248064041137695,869.4358520507812,5205.19677734375,53.590721130371094,0.0
16,57815.8125,5.916594505310059,811.6263427734375,4909.7919921875,59.57127380371094,0.0
17,54404.9921875,6.608983516693115,756.5394897460938,4617.78955078125,65.50914001464844,0.0
18,51058.84375,7.335351467132568,704.217041015625,4329.7060546875,71.22731018066406,0.0
19,47780.0859375,8.107147216796875,654.6981811523438,4045.77294921875,76.72662353515625,0.0
20,44585.56640625,8.908034324645996,607.8334350585938,3767.862548828125,81.96990966796875,0.0
21,41478.21484375,9.734349250793457,563.5184326171875,3496.343505859375,86.98617553710938,0.0
22,38456.49609375,10.607828140258789,521.693115234375,3231.0966796875,91.7991714477539,0.0
23,35550.5859375,11.515008926391602,482.332763671875,2975.14501953125,96.4291763305664,0.0
24,32790.71484375,12.442051887512207,445.5751037597656,2731.356689453125,100.89582061767578,0.0
25,30131.296875,13.382484436035156,411.54833984375,2495.037109375,105.20594787597656,0.0
26,27579.13671875,14.34974193572998,380.3556823730469,2266.820556640625,109.3023681640625,0.0
27,25146.203125,15.306926727294922,352.56451416015625,2047.4908447265625,113.0343246459961,0.0
28,22882.283203125,16.266157150268555,328.0921936035156,1842.2545166015625,116.2551498413086,0.0
29,20735.861328125,17.214611053466797,306.5921630859375,1646.41259765625,118.8598861694336,0.0
30,18710.658203125,18.152772903442383,287.9465637207031,1460.61474609375,120.68917846679688,0.0
31,16809.8515625,19.08942413330078,271.8122253417969,1285.48681640625,121.77727508544922,0.0
32,15041.2861328125,20.012802124023438,257.8280944824219,1122.04052734375,122.25870513916016,0.0
33,13412.509765625,20.91300392150879,245.50167846679688,971.4017333984375,122.2562255859375,0.0
34,11909.5322265625,21.795303344726562,234.5867919921875,832.3826293945312,121.80425262451172,0.0
35,10524.771484375,22.661258697509766,224.78050231933594,704.5250854492188,120.90538787841797,0.0
36,9271.4111328125,23.47154998779297,215.6944580078125,589.5370483398438,119.56246948242188,0.0
37,8140.88330078125,24.23529624938965,207.2196807861328,486.8114929199219,117.63365936279297,0.0
38,7131.84375,24.92018699645996,199.6582794189453,396.21417236328125,114.81989288330078,0.0
39,6250.6279296875,25.542701721191406,193.12924194335938,318.47296142578125,110.90628051757812,0.0
40,5488.83544921875,26.140419006347656,187.5877227783203,252.69256591796875,105.98922729492188,0.0
41,4832.8037109375,26.719343185424805,183.22015380859375,197.0228729248047,100.36544036865234,0.0
42,4248.58935546875,27.29305648803711,179.2351837158203,148.28858947753906,94.60586547851562,0.0
43,3759.68505859375,27.854881286621094,174.79428100585938,109.16996002197266,89.21878051757812,0.0
44,3339.05908203125,28.366600036621094,168.98880004882812,77.61650848388672,84.46394348144531,0.0
45,2996.8330078125,28.834909439086914,161.99830627441406,54.55527114868164,80.24623107910156,0.0
46,2700.7373046875,29.201705932617188,153.97218322753906,37.06748580932617,76.11389923095703,0.0
47,2442.33740234375,29.437931060791016,145.37867736816406,24.631446838378906,71.2798080444336,0.0
48,2207.994140625,29.588483810424805,136.66636657714844,16.03647804260254,65.13772583007812,0.0
49,1990.320556640625,29.61100959777832,127.73928833007812,10.570538520812988,57.76114273071289,0.0
50,1787.888916015625,29.509078979492188,118.21096801757812,7.734154224395752,49.89287185668945,0.0
51,1592.7537841796875,29.278331756591797,107.6119384765625,6.34149694442749,42.39411163330078,0.0
52,1401.40625,28.943634033203125,95.66851043701172,5.760807037353516,35.81693649291992,0.0
53,1214.466064453125,28.521862030029297,82.7616195678711,5.598387718200684,30.234407424926758,0.0
54,1035.928466796875,28.01203727722168,69.8047866821289,5.628434658050537,25.358421325683594,0.0
55,871.0725708007812,27.454734802246094,57.774967193603516,5.82082986831665,20.765987396240234,0.0
56,723.8193359375,26.897077560424805,47.25524139404297,6.204577922821045,16.232402801513672,0.0
57,597.2034301757812,26.3316593170166,38.33428192138672,6.807901382446289,11.944989204406738,0.0
58,493.35247802734375,25.763320922851562,30.790008544921875,7.630079746246338,8.33882999420166,0.0
59,411.6346435546875,25.238317489624023,24.359350204467773,8.625414848327637,5.654867172241211,0.0
60,349.71380615234375,24.75812530517578,18.975831985473633,9.718642234802246,3.8010947704315186,0.0
61,304.7043151855469,24.34014129638672,14.71145248413086,10.779558181762695,2.5454049110412598,0.0
62,271.3830261230469,23.999309539794922,11.58626937866211,11.491003036499023,1.6611005067825317,0.0
63,244.49305725097656,23.749574661254883,9.416990280151367,11.640432357788086,1.0169262886047363,0.0
64,220.65005493164062,23.57672119140625,7.894223690032959,11.187238693237305,0.6258702278137207,0.0
65,198.3403778076172,23.47547149658203,6.727800369262695,10.248315811157227,0.5103746056556702,0.0
66,176.93612670898438,23.444791793823242,5.7379560470581055,9.027295112609863,0.5838810801506042,0.0
67,157.21124267578125,23.475099563598633,4.881222248077393,7.74029016494751,0.7521019577980042,0.0
68,141.012939453125,23.55785369873047,4.182261943817139,6.585884094238281,0.9773626923561096,0.0
69,129.64263916015625,23.67277717590332,3.640190839767456,5.739416599273682,1.217380166053772,0.0
70,123.75928497314453,23.803991317749023,3.2236244678497314,5.328098773956299,1.4438059329986572,0.0
71,123.56777954101562,23.946640014648438,2.9093093872070312,5.382236480712891,1.6705687046051025,0.0
72,127.97901153564453,24.074115753173828,2.68078351020813,5.811524391174316,1.8981819152832031,0.0
73,135.09466552734375,24.180700302124023,2.5302703380584717,6.443114280700684,2.1180105209350586,0.0
74,143.10218811035156,24.25339126586914,2.453975200653076,7.093969821929932,2.3369343280792236,0.0
75,150.20806884765625,24.285112380981445,2.429253339767456,7.620660305023193,2.5423812866210938,0.0
76,155.0970916748047,24.274564743041992,2.4296839237213135,7.928714275360107,2.7238550186157227,0.0
77,157.5155029296875,24.23188591003418,2.4565138816833496,7.969969749450684,2.901876926422119,0.0
78,157.74522399902344,24.161575317382812,2.529805898666382,7.751459121704102,3.077099561691284,0.0
79,156.41452026367188,24.061246871948242,2.6663575172424316,7.34178352355957,3.2271857261657715,0.0
80,154.52130126953125,23.945903778076172,2.8605306148529053,6.849079132080078,3.347931146621704,0.0
81,152.77899169921875,23.82784652709961,3.075434923171997,6.375843048095703,3.4438364505767822,0.0
82,151.48007202148438,23.70836067199707,3.2736856937408447,5.98486328125,3.5186221599578857,0.0
83,150.7073974609375,23.60243034362793,3.4468774795532227,5.696578025817871,3.5670418739318848,0.0
84,150.1207275390625,23.50825309753418,3.5974011421203613,5.505555629730225,3.5582897663116455,0.0
85,149.2338409423828,23.441953659057617,3.711768627166748,5.394433498382568,3.4729862213134766,0.0
86,147.70333862304688,23.407793045043945,3.75638747215271,5.3400492668151855,3.3331191539764404,0.0
87,145.26319885253906,23.39316177368164,3.70045804977417,5.319304466247559,3.167241096496582,0.0
88,141.9109649658203,23.4034423828125,3.5486934185028076,5.316919803619385,2.985139846801758,0.0
89,137.94754028320312,23.441518783569336,3.3410768508911133,5.328428745269775,2.7810957431793213,0.0
90,133.71859741210938,23.503677368164062,3.117750406265259,5.355964660644531,2.5477774143218994,0.0
91,129.59811401367188,23.5771484375,2.8994789123535156,5.402790546417236,2.2998273372650146,0.0
92,125.92432403564453,23.649639129638672,2.6929128170013428,5.4701690673828125,2.0643868446350098,0.0
93,122.84648132324219,23.734067916870117,2.504366159439087,5.554563999176025,1.8523117303848267,0.0
94,120.34808349609375,23.80860137939453,2.3477280139923096,5.644503116607666,1.6617175340652466,0.0
