epoch,total,pde,terminal,left_bc,right_bc,exercise
1,158099.359375,0.08579052984714508,2579.171630859375,19.895814895629883,13210.861328125,0.0
2,149447.234375,0.04982838034629822,2413.96875,7.79456901550293,12522.9541015625,0.0
3,140970.171875,0.025727495551109314,2257.134765625,1.330173134803772,11838.5498046875,0.0
4,132983.0625,0.014535023830831051,2111.0107421875,0.1535823941230774,11187.140625,0.0
5,125424.1796875,0.012976986356079578,1975.289794921875,3.0464401245117188,10564.080078125,0.0
6,118207.625,0.018775561824440956,1849.144775390625,7.9146647453308105,9963.7001953125,0.0
7,111159.1796875,0.02525044046342373,1728.7601318359375,12.756814002990723,9374.3984375,0.0
8,104248.8671875,0.029384594410657883,1613.27734375,16.599096298217773,8795.0078125,0.0
9,97523.3671875,0.031497564166784286,1503.236572265625,19.207731246948242,8229.888671875,0.0
10,91052.75,0.031464289873838425,1399.2843017578125,20.67833137512207,7685.3095703125,0.0
11,84942.828125,0.03026130050420761,1303.43310546875,21.164873123168945,7169.68212890625,0.0
12,79192.921875,0.027516338974237442,1215.565673828125,20.825199127197266,6682.89794921875,0.0
13,73822.421875,0.023465996608138084,1135.0670166015625,19.799360275268555,6227.37353515625,0.0
14,68615.3359375,0.019778305664658546,1058.788818359375,18.24272346496582,5784.50048828125,0.0
15,63592.41015625,0.016639752313494682,987.1693725585938,16.30116081237793,5355.7685546875,0.0
16,58801.4296875,0.01681828685104847,920.8106689453125,14.111565589904785,4945.21923828125,0.0
17,54225.51171875,0.022622423246502876,860.4863891601562,11.978569984436035,4550.083984375,0.0
18,49958.26171875,0.02776588685810566,807.2095947265625,10.267603874206543,4178.34619140625,0.0
19,46011.2265625,0.030995633453130722,760.6123657226562,8.464608192443848,3832.042724609375,0.0
20,42310.75,0.03446042537689209,719.6869506835938,6.643250465393066,3504.740966796875,0.0
21,38831.578125,0.03917534649372101,684.4193725585938,4.895567417144775,3193.839111328125,0.0
22,35575.171875,0.04461248591542244,654.955810546875,3.3141493797302246,2899.242919921875,0.0
23,32566.095703125,0.05042783170938492,631.6619873046875,1.9571372270584106,2622.985595703125,0.0
24,29829.73828125,0.05853860452771187,614.8109741210938,0.8934629559516907,2367.263427734375,0.0
25,27380.107421875,0.06968120485544205,603.9714965820312,0.21059219539165497,2133.821533203125,0.0
26,25169.11328125,0.08384078741073608,598.17041015625,0.005606153514236212,1918.72705078125,0.0
27,23202.306640625,0.10144155472517014,597.0037231445312,0.3777804374694824,1722.8389892578125,0.0
28,21484.22265625,0.12363586574792862,599.9371948242188,1.4174625873565674,1547.05517578125,0.0
29,20018.71484375,0.15035079419612885,606.4275512695312,3.188093900680542,1392.2408447265625,0.0
30,18774.17578125,0.18196669220924377,616.1253662109375,5.665225505828857,1255.608642578125,0.0
31,17749.931640625,0.2193891555070877,628.04052734375,8.819143295288086,1138.1116943359375,0.0
32,16927.853515625,0.2627337574958801,640.7540283203125,12.605841636657715,1039.3992919921875,0.0
33,16275.021484375,0.3126235902309418,653.23388671875,16.908658981323242,957.328369140625,0.0
34,15761.48046875,0.3691985309123993,664.48388671875,21.57168197631836,890.0556030273438,0.0
35,15361.0546875,0.4341294467449188,673.7247314453125,26.413171768188477,835.9242553710938,0.0
36,15052.552734375,0.5045048594474792,680.6386108398438,31.226552963256836,793.3396606445312,0.0
37,14795.8125,0.5820778608322144,684.5755004882812,35.867923736572266,759.0796508789062,0.0
38,14556.5546875,0.6671265363693237,684.6556396484375,40.244346618652344,730.688720703125,0.0
39,14308.109375,0.7578126192092896,679.9404907226562,44.30643844604492,706.4881591796875,0.0
40,14033.0029296875,0.8551839590072632,669.915283203125,48.0509033203125,685.2485961914062,0.0
41,13720.314453125,0.9612552523612976,654.500732421875,51.46343231201172,665.97119140625,0.0
42,13367.69140625,1.0749341249465942,634.032470703125,54.61343002319336,648.0158081054688,0.0
43,12981.1142578125,1.1971962451934814,609.1846313476562,57.68272399902344,631.1243286132812,0.0
44,12567.4521484375,1.3250443935394287,580.9122314453125,60.35321044921875,615.3472900390625,0.0
