epoch,total,pde,terminal,left_bc,right_bc,exercise
1,140612.015625,0.04316652566194534,2101.135498046875,9940.9619140625,42.337432861328125,1976.761962890625
2,133589.265625,0.03600076213479042,1974.010498046875,9482.0732421875,54.00714111328125,1848.8321533203125
3,126838.21875,0.07539033144712448,1852.50537109375,9039.6943359375,66.43141174316406,1725.1826171875
4,120364.78125,0.16598404943943024,1737.8927001953125,8611.7763671875,79.57891082763672,1607.2132568359375
5,114132.2734375,0.3101842403411865,1629.9027099609375,8196.0947265625,92.01966094970703,1495.1798095703125
6,108260.3203125,0.5113521218299866,1529.817626953125,7802.54150390625,103.6443099975586,1389.9774169921875
7,102717.5390625,0.7706344127655029,1436.8145751953125,7428.28173828125,116.50382232666016,1290.07666015625
8,97501.9375,1.0885651111602783,1351.346923828125,7072.65185546875,129.94544982910156,1196.1409912109375
9,92596.1015625,1.4656131267547607,1273.8876953125,6733.666015625,143.27923583984375,1108.6302490234375
10,87959.625,1.8916265964508057,1203.2239990234375,6409.4638671875,155.92440795898438,1027.161376953125
11,83470.625,2.3685379028320312,1138.3338623046875,6090.3759765625,166.987060546875,951.1279296875
12,79182.46875,2.893159866333008,1078.1771240234375,5784.05419921875,175.52749633789062,880.1981811523438
13,75028.296875,3.4650444984436035,1022.0992431640625,5485.20947265625,180.97315979003906,814.201171875
14,71039.0703125,4.075474739074707,969.5276489257812,5197.0302734375,184.0521240234375,752.8895874023438
15,67205.390625,4.7258076667785645,919.5885620117188,4920.7314453125,184.0687255859375,695.6774291992188
16,63438.74609375,5.41912841796875,871.738525390625,4647.63818359375,182.07273864746094,641.8833618164062
17,59742.62109375,6.1561126708984375,825.6668701171875,4378.08349609375,178.79127502441406,591.1046752929688
18,56129.4609375,6.938295364379883,781.3297729492188,4112.6162109375,175.1739501953125,543.1326293945312
19,52688.6875,7.7638115882873535,738.9671020507812,3859.082275390625,172.09104919433594,497.9518127441406
20,49404.04296875,8.632411003112793,699.1470947265625,3613.6962890625,170.82994079589844,455.8678894042969
21,46230.515625,9.538220405578613,661.7097778320312,3372.073974609375,171.9144287109375,416.3994445800781
22,43175.87109375,10.47610855102539,626.8280639648438,3134.831298828125,175.53273010253906,379.3473815917969
